[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 0 draw 174 6.8s
    [zh] fold 0 draw 175 6.7s
    [zh] fold 0 draw 176 6.8s
    [zh] fold 0 draw 177 6.7s
    [zh] fold 0 draw 178 6.7s
    [zh] fold 0 draw 179 7.0s
    [zh] fold 0 draw 180 7.1s
    [zh] fold 0 draw 181 6.7s
    [zh] fold 0 draw 182 6.8s
    [zh] fold 0 draw 183 6.7s
    [zh] fold 0 draw 184 6.8s
    [zh] fold 0 draw 185 6.7s
    [zh] fold 0 draw 186 6.7s
    [zh] fold 0 draw 187 6.7s
    [zh] fold 0 draw 188 6.7s
    [zh] fold 0 draw 189 6.9s
    [zh] fold 0 draw 190 6.9s
    [zh] fold 0 draw 191 6.9s
    [zh] fold 0 draw 192 6.8s
    [zh] fold 0 draw 193 6.7s
    [zh] fold 0 draw 194 6.7s
    [zh] fold 0 draw 195 6.7s
    [zh] fold 0 draw 196 7.0s
    [zh] fold 0 draw 197 7.0s
    [zh] fold 0 draw 198 7.0s
    [zh] fold 0 draw 199 7.1s
    [zh] fold 1 setup 2.3s (arena=False draws=200)
    [zh] fold 1 draw 0 7.2s
    [zh] fold 1 draw 1 7.1s
    [zh] fold 1 draw 2 7.0s
    [zh] fold 1 draw 3 7.1s
    [zh] fold 1 draw 4 7.1s
    [zh] fold 1 draw 5 7.2s
    [zh] fold 1 draw 6 7.1s
    [zh] fold 1 draw 7 7.3s
    [zh] fold 1 draw 8 7.2s
    [zh] fold 1 draw 9 7.0s
    [zh] fold 1 draw 10 7.0s
    [zh] fold 1 draw 11 7.1s
    [zh] fold 1 draw 12 7.7s
    [zh] fold 1 draw 13 6.8s
    [zh] fold 1 draw 14 6.8s
    [zh] fold 1 draw 15 6.8s
    [zh] fold 1 draw 16 7.0s
    [zh] fold 1 draw 17 6.7s
    [zh] fold 1 draw 18 6.8s
    [zh] fold 1 draw 19 6.8s
    [zh] fold 1 draw 20 6.8s
    [zh] fold 1 draw 21 6.7s
    [zh] fold 1 draw 22 6.7s
    [zh] fold 1 draw 23 6.8s
    [zh] fold 1 draw 24 6.9s
    [zh] fold 1 draw 25 6.7s
    [zh] fold 1 draw 26 6.9s
    [zh] fold 1 draw 27 6.8s
    [zh] fold 1 draw 28 6.8s
    [zh] fold 1 draw 29 6.7s
    [zh] fold 1 draw 30 6.8s
    [zh] fold 1 draw 31 6.9s
    [zh] fold 1 draw 32 6.9s
    [zh] fold 1 draw 33 6.8s
    [zh] fold 1 draw 34 6.8s
    [zh] fold 1 draw 35 7.1s
    [zh] fold 1 draw 36 7.2s
    [zh] fold 1 draw 37 6.8s
    [zh] fold 1 draw 38 6.8s
    [zh] fold 1 draw 39 6.8s
    [zh] fold 1 draw 40 6.8s
    [zh] fold 1 draw 41 6.9s
    [zh] fold 1 draw 42 6.9s
    [zh] fold 1 draw 43 6.9s
    [zh] fold 1 draw 44 6.8s
    [zh] fold 1 draw 45 6.7s
    [zh] fold 1 draw 46 6.7s
    [zh] fold 1 draw 47 6.8s
    [zh] fold 1 draw 48 6.8s
    [zh] fold 1 draw 49 6.8s
    [zh] fold 1 draw 50 6.8s
    [zh] fold 1 draw 51 6.9s
    [zh] fold 1 draw 52 6.8s
    [zh] fold 1 draw 53 6.9s
    [zh] fold 1 draw 54 6.8s
    [zh] fold 1 draw 55 6.8s
    [zh] fold 1 draw 56 7.0s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 1 setup 2.3s (arena=False draws=143)
    [zh] fold 1 draw 57 7.9s
    [zh] fold 1 draw 58 6.8s
    [zh] fold 1 draw 59 6.8s
    [zh] fold 1 draw 60 6.7s
    [zh] fold 1 draw 61 6.7s
    [zh] fold 1 draw 62 7.2s
    [zh] fold 1 draw 63 6.9s
    [zh] fold 1 draw 64 6.8s
    [zh] fold 1 draw 65 6.8s
    [zh] fold 1 draw 66 6.8s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 1 setup 2.3s (arena=False draws=133)
    [zh] fold 1 draw 67 7.9s
    [zh] fold 1 draw 68 6.7s
    [zh] fold 1 draw 69 7.0s
    [zh] fold 1 draw 70 6.8s
    [zh] fold 1 draw 71 6.7s
    [zh] fold 1 draw 72 6.7s
    [zh] fold 1 draw 73 6.8s
    [zh] fold 1 draw 74 6.8s
    [zh] fold 1 draw 75 6.7s
    [zh] fold 1 draw 76 6.9s
    [zh] fold 1 draw 77 7.0s
    [zh] fold 1 draw 78 7.0s
    [zh] fold 1 draw 79 6.8s
    [zh] fold 1 draw 80 6.7s
    [zh] fold 1 draw 81 6.8s
    [zh] fold 1 draw 82 6.9s
    [zh] fold 1 draw 83 6.9s
    [zh] fold 1 draw 84 6.8s
    [zh] fold 1 draw 85 6.8s
    [zh] fold 1 draw 86 6.7s
    [zh] fold 1 draw 87 6.7s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 1 setup 2.3s (arena=False draws=112)
    [zh] fold 1 draw 88 7.8s
    [zh] fold 1 draw 89 6.9s
    [zh] fold 1 draw 90 6.8s
    [zh] fold 1 draw 91 6.9s
    [zh] fold 1 draw 92 7.1s
    [zh] fold 1 draw 93 6.9s
    [zh] fold 1 draw 94 6.9s
    [zh] fold 1 draw 95 6.8s
    [zh] fold 1 draw 96 6.8s
    [zh] fold 1 draw 97 6.8s
    [zh] fold 1 draw 98 6.9s
    [zh] fold 1 draw 99 7.2s
    [zh] fold 1 draw 100 7.1s
    [zh] fold 1 draw 101 6.8s
    [zh] fold 1 draw 102 6.8s
    [zh] fold 1 draw 103 6.8s
    [zh] fold 1 draw 104 6.7s
    [zh] fold 1 draw 105 7.1s
    [zh] fold 1 draw 106 7.0s
    [zh] fold 1 draw 107 7.0s
    [zh] fold 1 draw 108 7.0s
    [zh] fold 1 draw 109 7.0s
    [zh] fold 1 draw 110 6.9s
    [zh] fold 1 draw 111 6.8s
    [zh] fold 1 draw 112 6.8s
    [zh] fold 1 draw 113 6.7s
    [zh] fold 1 draw 114 6.8s
    [zh] fold 1 draw 115 6.9s
    [zh] fold 1 draw 116 6.9s
    [zh] fold 1 draw 117 6.8s
    [zh] fold 1 draw 118 6.8s
[zh] n=579 pos-rate 0.3109 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/zh
    [zh] fold 1 setup 2.3s (arena=False draws=81)
    [zh] fold 1 draw 119 7.7s
    [zh] fold 1 draw 120 6.9s
    [zh] fold 1 draw 121 6.9s
    [zh] fold 1 draw 122 6.9s
    [zh] fold 1 draw 123 6.8s
    [zh] fold 1 draw 124 6.9s
    [zh] fold 1 draw 125 6.8s
    [zh] fold 1 draw 126 6.8s
    [zh] fold 1 draw 127 6.8s
    [zh] fold 1 draw 128 6.7s
