[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 0 draw 183 6.2s
    [en] fold 0 draw 184 6.1s
    [en] fold 0 draw 185 6.0s
    [en] fold 0 draw 186 6.0s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 0 setup 1.9s (arena=False draws=13)
    [en] fold 0 draw 187 7.7s
    [en] fold 0 draw 188 6.2s
    [en] fold 0 draw 189 6.0s
    [en] fold 0 draw 190 6.0s
    [en] fold 0 draw 191 6.0s
    [en] fold 0 draw 192 6.1s
    [en] fold 0 draw 193 6.0s
    [en] fold 0 draw 194 6.1s
    [en] fold 0 draw 195 6.0s
    [en] fold 0 draw 196 6.1s
    [en] fold 0 draw 197 6.0s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 0 setup 1.9s (arena=False draws=2)
    [en] fold 0 draw 198 7.1s
    [en] fold 0 draw 199 6.3s
    [en] fold 1 setup 1.9s (arena=False draws=200)
    [en] fold 1 draw 0 6.2s
    [en] fold 1 draw 1 6.1s
    [en] fold 1 draw 2 7.1s
    [en] fold 1 draw 3 6.2s
    [en] fold 1 draw 4 6.3s
    [en] fold 1 draw 5 6.3s
    [en] fold 1 draw 6 6.3s
    [en] fold 1 draw 7 6.2s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 1 setup 2.0s (arena=False draws=192)
    [en] fold 1 draw 8 7.4s
    [en] fold 1 draw 9 6.2s
    [en] fold 1 draw 10 6.2s
    [en] fold 1 draw 11 6.6s
    [en] fold 1 draw 12 6.4s
    [en] fold 1 draw 13 6.3s
    [en] fold 1 draw 14 6.2s
    [en] fold 1 draw 15 6.2s
    [en] fold 1 draw 16 6.2s
    [en] fold 1 draw 17 6.3s
    [en] fold 1 draw 18 6.2s
    [en] fold 1 draw 19 6.1s
    [en] fold 1 draw 20 6.1s
    [en] fold 1 draw 21 6.1s
    [en] fold 1 draw 22 6.1s
    [en] fold 1 draw 23 6.2s
    [en] fold 1 draw 24 6.3s
    [en] fold 1 draw 25 6.2s
    [en] fold 1 draw 26 6.1s
    [en] fold 1 draw 27 6.1s
    [en] fold 1 draw 28 6.0s
    [en] fold 1 draw 29 6.0s
    [en] fold 1 draw 30 6.0s
    [en] fold 1 draw 31 6.0s
    [en] fold 1 draw 32 6.0s
    [en] fold 1 draw 33 6.0s
    [en] fold 1 draw 34 6.0s
    [en] fold 1 draw 35 6.1s
    [en] fold 1 draw 36 6.1s
    [en] fold 1 draw 37 6.2s
    [en] fold 1 draw 38 6.2s
    [en] fold 1 draw 39 6.2s
    [en] fold 1 draw 40 6.1s
